method,config_label,param_family,problem_id,problem,n,x0_label,tau,rho,beta,eta,zeta,alpha_min,alpha_max,lambda0,gamma,c,zeta1,zeta2,eps,maxiter,converged,status,restarts,iterations,f_evals,residual,cpu_time,tsel,srule
SOPP,default,baseline,1,P1,10000,0.4,1,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,50,100,8.8839532348841421e-12,0.68531410000000004,cond,max
SOPP,default,baseline,1,P1,10000,0.5,1,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,50,101,8.0393886936992245e-12,0.0188246,cond,max
SOPP,default,baseline,1,P1,10000,0.6,1,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,50,101,9.4903863445730371e-12,0.0349439,cond,max
SOPP,default,baseline,1,P1,10000,0.8,1,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,51,102,9.0742614887044467e-12,0.028941700000000001,cond,max
SOPP,default,baseline,1,P1,10000,1.0,1,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,51,103,7.8031782440732518e-12,0.0242052,cond,max
SOPP,default,baseline,1,P1,10000,1.1,1,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,51,103,8.2435316980058876e-12,0.024752900000000001,cond,max
SOPP,default,baseline,1,P1,10000,2.0,1,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,51,102,9.3273174042688958e-12,0.026681400000000001,cond,max
SOPP,default,baseline,1,P1,10000,5.0,1,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,50,102,7.7635688885529864e-12,0.023768000000000001,cond,max
SOPP,default,baseline,1,P1,10000,1/k,1,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,44,88,9.7736773373210682e-12,0.015023399999999999,cond,max
SOPP,default,baseline,1,P1,10000,k/n,1,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,50,101,8.8732671887503435e-12,0.0166176,cond,max
SOPP,default,baseline,2,P2,10000,0.4,1,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,50,101,7.5931665379395827e-12,0.10971210000000001,cond,max
