method,dataset,trial,n_features,n_samples,converged,iterations,f_evals,cpu_time,residual,accuracy
SOPP,a1a.t,1,123,30956,true,293,586,2.236427300,9.675374e-12,0.733816
SDLP,a1a.t,1,123,30956,true,157,315,0.998090300,9.738693e-12,0.733816
MOPCGM,a1a.t,1,123,30956,true,2464,4928,11.973007900,9.969983e-12,0.733816
CGPM,a1a.t,1,123,30956,true,633,1427,3.521972800,9.406499e-12,0.733816
STTDFPM,a1a.t,1,123,30956,true,132,390,1.033744300,9.663529e-12,0.733816
SOPP,a1a.t,2,123,30956,true,290,580,1.395587600,9.613934e-12,0.733816
SDLP,a1a.t,2,123,30956,true,155,311,0.722650000,9.489854e-12,0.733816
MOPCGM,a1a.t,2,123,30956,true,2437,4874,11.837868500,9.927473e-12,0.733816
CGPM,a1a.t,2,123,30956,true,624,1404,3.355915900,9.587492e-12,0.733816
STTDFPM,a1a.t,2,123,30956,true,152,422,1.037776800,7.451453e-12,0.733816
SOPP,a1a.t,3,123,30956,true,291,582,1.372382000,9.696836e-12,0.733816
SDLP,a1a.t,3,123,30956,true,156,313,0.779371900,9.335986e-12,0.733816
MOPCGM,a1a.t,3,123,30956,true,2447,4894,11.818823300,9.939821e-12,0.733816
CGPM,a1a.t,3,123,30956,true,625,1407,3.339113800,9.593641e-12,0.733816
STTDFPM,a1a.t,3,123,30956,true,149,422,1.050555300,8.540704e-12,0.733816
SOPP,a1a.t,4,123,30956,true,287,575,1.387229900,9.943605e-12,0.733816
SDLP,a1a.t,4,123,30956,true,154,308,0.801063800,9.718866e-12,0.733816
MOPCGM,a1a.t,4,123,30956,true,2418,4836,11.624181700,9.953834e-12,0.733816
CGPM,a1a.t,4,123,30956,true,613,1377,3.623917100,9.905492e-12,0.733816
STTDFPM,a1a.t,4,123,30956,true,154,433,1.119952900,9.039890e-12,0.733816
SOPP,a1a.t,5,123,30956,true,290,580,1.627922000,9.682655e-12,0.733816
SDLP,a1a.t,5,123,30956,true,156,312,0.732958400,9.315879e-12,0.733816
MOPCGM,a1a.t,5,123,30956,true,2438,4876,11.788533500,9.980430e-12,0.733816
CGPM,a1a.t,5,123,30956,true,581,1301,3.091871500,9.906195e-12,0.733816
STTDFPM,a1a.t,5,123,30956,true,166,452,1.055023000,9.486165e-12,0.733816
SOPP,a2a.t,1,123,30296,true,293,586,1.350146500,9.676797e-12,0.733826
SDLP,a2a.t,1,123,30296,true,157,315,0.871797300,9.740264e-12,0.733826
MOPCGM,a2a.t,1,123,30296,true,2464,4928,11.366959400,9.971324e-12,0.733826
CGPM,a2a.t,1,123,30296,true,632,1425,3.276200400,9.594802e-12,0.733826
STTDFPM,a2a.t,1,123,30296,true,161,434,1.010127300,9.942191e-12,0.733826
SOPP,a2a.t,2,123,30296,true,290,580,1.410767600,9.611613e-12,0.733826
SDLP,a2a.t,2,123,30296,true,155,311,0.735311700,9.486631e-12,0.733826
MOPCGM,a2a.t,2,123,30296,true,2437,4874,12.955899400,9.924833e-12,0.733826
CGPM,a2a.t,2,123,30296,true,622,1399,3.412851900,9.875192e-12,0.733826
STTDFPM,a2a.t,2,123,30296,true,144,423,0.948827100,9.511296e-12,0.733826
SOPP,a2a.t,3,123,30296,true,291,582,1.385537200,9.694487e-12,0.733826
SDLP,a2a.t,3,123,30296,true,156,313,0.796585200,9.334037e-12,0.733826
MOPCGM,a2a.t,3,123,30296,true,2447,4894,11.781938600,9.937237e-12,0.733826
CGPM,a2a.t,3,123,30296,true,624,1405,3.248623400,9.698689e-12,0.733826
STTDFPM,a2a.t,3,123,30296,true,161,443,1.007137300,8.685801e-12,0.733826
SOPP,a2a.t,4,123,30296,true,287,575,1.360748500,9.942968e-12,0.733826
SDLP,a2a.t,4,123,30296,true,154,308,0.712304500,9.716763e-12,0.733826
MOPCGM,a2a.t,4,123,30296,true,2418,4836,11.725576500,9.953053e-12,0.733826
CGPM,a2a.t,4,123,30296,true,612,1375,3.315028700,9.605185e-12,0.733826
STTDFPM,a2a.t,4,123,30296,true,130,390,0.880775600,8.561641e-12,0.733826
SOPP,a2a.t,5,123,30296,true,290,580,1.353393300,9.688056e-12,0.733826
SDLP,a2a.t,5,123,30296,true,156,312,0.701411300,9.324529e-12,0.733826
MOPCGM,a2a.t,5,123,30296,true,2438,4876,11.712962800,9.986420e-12,0.733826
CGPM,a2a.t,5,123,30296,true,581,1302,3.056870900,9.629885e-12,0.733826
STTDFPM,a2a.t,5,123,30296,true,137,379,0.857776500,9.449984e-12,0.733826
SOPP,a3a.t,1,123,29376,true,293,586,1.283518100,9.677367e-12,0.734613
SDLP,a3a.t,1,123,29376,true,157,315,0.680958300,9.739622e-12,0.734613
MOPCGM,a3a.t,1,123,29376,true,2464,4928,10.951952900,9.971814e-12,0.734613
CGPM,a3a.t,1,123,29376,true,632,1425,3.290830600,9.701252e-12,0.734613
STTDFPM,a3a.t,1,123,29376,true,133,392,0.863164600,9.041372e-12,0.734613
SOPP,a3a.t,2,123,29376,true,290,580,1.276759400,9.607621e-12,0.734613
SDLP,a3a.t,2,123,29376,true,155,311,0.660477100,9.481313e-12,0.734613
MOPCGM,a3a.t,2,123,29376,true,2437,4874,10.918001400,9.920573e-12,0.734613
CGPM,a3a.t,2,123,29376,true,626,1407,3.068621000,9.999520e-12,0.734613
STTDFPM,a3a.t,2,123,29376,true,151,426,0.952078800,9.365599e-12,0.734613
SOPP,a3a.t,3,123,29376,true,291,582,1.224765000,9.686000e-12,0.734613
SDLP,a3a.t,3,123,29376,true,156,313,0.659373500,9.321083e-12,0.734613
MOPCGM,a3a.t,3,123,29376,true,2447,4894,11.155121700,9.927949e-12,0.734613
CGPM,a3a.t,3,123,29376,true,624,1405,3.088866000,9.741235e-12,0.734613
STTDFPM,a3a.t,3,123,29376,true,164,469,0.979291100,8.422998e-12,0.734613
SOPP,a3a.t,4,123,29376,true,287,575,1.252505600,9.952981e-12,0.734613
SDLP,a3a.t,4,123,29376,true,154,308,0.647748900,9.729097e-12,0.734613
MOPCGM,a3a.t,4,123,29376,true,2418,4836,10.622735400,9.963835e-12,0.734613
CGPM,a3a.t,4,123,29376,true,612,1375,2.987695000,9.714058e-12,0.734613
STTDFPM,a3a.t,4,123,29376,true,147,405,0.889959300,7.363980e-12,0.734613
SOPP,a3a.t,5,123,29376,true,290,580,1.256004300,9.690514e-12,0.734613
SDLP,a3a.t,5,123,29376,true,156,312,0.704093100,9.326729e-12,0.734613
MOPCGM,a3a.t,5,123,29376,true,2438,4876,10.981098200,9.989170e-12,0.734613
CGPM,a3a.t,5,123,29376,true,581,1301,2.907478300,9.967953e-12,0.734613
STTDFPM,a3a.t,5,123,29376,true,134,389,0.837804300,9.710760e-12,0.734613
SOPP,a4a.t,1,123,27780,true,293,586,1.198926000,9.675829e-12,0.733585
SDLP,a4a.t,1,123,27780,true,157,315,0.616900700,9.737311e-12,0.733585
MOPCGM,a4a.t,1,123,27780,true,2464,4928,9.881387800,9.970085e-12,0.733585
CGPM,a4a.t,1,123,27780,true,633,1427,2.890141700,9.497333e-12,0.733585
STTDFPM,a4a.t,1,123,27780,true,148,431,0.844395100,7.291480e-12,0.733585
SOPP,a4a.t,2,123,27780,true,290,580,1.150181800,9.602781e-12,0.733585
SDLP,a4a.t,2,123,27780,true,155,311,0.637257700,9.479680e-12,0.733585
MOPCGM,a4a.t,2,123,27780,true,2437,4874,11.180182600,9.915804e-12,0.733585
CGPM,a4a.t,2,123,27780,true,627,1410,3.363457800,9.661833e-12,0.733585
STTDFPM,a4a.t,2,123,27780,true,148,422,1.067896700,9.535355e-12,0.733585
SOPP,a4a.t,3,123,27780,true,291,582,1.237324300,9.683825e-12,0.733585
SDLP,a4a.t,3,123,27780,true,156,313,0.701349900,9.323195e-12,0.733585
