method,config_label,param_family,problem_id,problem,n,x0_label,tau,rho,beta,eta,zeta,alpha_min,alpha_max,lambda0,gamma,c,zeta1,zeta2,eps,maxiter,converged,status,restarts,iterations,f_evals,residual,cpu_time
SOPP,tau=0.1,tau,1,P1,10000,0.4,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,20,40,7.4077951860043323e-12,0.66057370000000004
SOPP,tau=0.1,tau,1,P1,10000,0.5,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,20,40,9.3546165568816447e-12,0.0074314999999999997
SOPP,tau=0.1,tau,1,P1,10000,0.6,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,20,41,3.7770467802340961e-12,0.0076924000000000003
SOPP,tau=0.1,tau,1,P1,10000,0.8,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,20,41,5.0895109501933106e-12,0.16327320000000001
SOPP,tau=0.1,tau,1,P1,10000,1.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,20,41,6.3017915497265769e-12,0.0077133000000000002
SOPP,tau=0.1,tau,1,P1,10000,1.1,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,20,41,6.8255801165243425e-12,0.0074013999999999998
SOPP,tau=0.1,tau,1,P1,10000,2.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,20,41,6.2356562900257124e-12,0.0080733999999999997
SOPP,tau=0.1,tau,1,P1,10000,5.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,20,42,4.080807776879779e-12,0.0170359
SOPP,tau=0.1,tau,1,P1,10000,1/k,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,18,36,7.6866409246160074e-12,0.0069087999999999997
SOPP,tau=0.1,tau,1,P1,10000,k/n,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,20,41,3.7229688006371075e-12,0.0076103000000000004
