method,sparsity_ratio,measurement_ratio,noise_ratio,trial,converged,iterations,f_evals,cpu_time,mse,rel_err
SOPP,0.05,0.25,0.0000,1,true,459,918,6.762480700,2.4739762041e-10,6.7561413323e-02
SDLP,0.05,0.25,0.0000,1,true,337,674,4.297610000,2.4943652710e-10,6.7839242925e-02
MOPCGM,0.05,0.25,0.0000,1,true,4080,8160,50.314275600,2.4907615052e-10,6.7790219409e-02
CGPM,0.05,0.25,0.0000,1,true,1334,2937,15.980454000,2.3653122991e-10,6.6061010416e-02
STTDFPM,0.05,0.25,0.0000,1,true,355,749,4.260881600,2.1391041145e-10,6.2822747871e-02
SOPP,0.05,0.25,0.0000,2,true,419,838,5.406415600,2.0454390416e-10,6.3646519367e-02
SDLP,0.05,0.25,0.0000,2,true,306,613,3.553417100,2.0560722724e-10,6.3811738386e-02
MOPCGM,0.05,0.25,0.0000,2,true,3721,7442,44.935492900,2.0585335155e-10,6.3849920222e-02
CGPM,0.05,0.25,0.0000,2,true,1229,2705,15.628960200,1.9377943889e-10,6.1949133313e-02
STTDFPM,0.05,0.25,0.0000,2,true,354,745,4.635618800,1.3238827152e-10,5.1204265860e-02
SOPP,0.05,0.25,0.0000,3,true,438,877,5.320881000,3.1517133468e-10,8.5671687070e-02
SDLP,0.05,0.25,0.0000,3,true,322,644,3.490165700,3.1356864117e-10,8.5453582755e-02
MOPCGM,0.05,0.25,0.0000,3,true,3898,7796,44.743579000,3.1567524948e-10,8.5740148228e-02
CGPM,0.05,0.25,0.0000,3,true,1279,2816,16.199086400,2.9763029595e-10,8.3253506035e-02
STTDFPM,0.05,0.25,0.0000,3,true,383,792,4.246701600,1.7253614519e-10,6.3387556285e-02
SOPP,0.05,0.25,0.0000,4,true,277,554,3.292569200,2.3272518616e-10,6.2970108251e-02
SDLP,0.05,0.25,0.0000,4,true,197,394,2.120521300,2.3135846871e-10,6.2784934756e-02
MOPCGM,0.05,0.25,0.0000,4,true,2444,4888,29.367387500,2.3265559509e-10,6.2960692671e-02
CGPM,0.05,0.25,0.0000,4,true,827,1823,10.176539400,2.2632247759e-10,6.2097853880e-02
STTDFPM,0.05,0.25,0.0000,4,true,214,476,2.713820400,1.9248358877e-10,5.7267681424e-02
SOPP,0.05,0.25,0.0000,5,true,383,766,4.533180200,1.6112361110e-10,5.7837299397e-02
SDLP,0.05,0.25,0.0000,5,true,279,558,3.640616500,1.6039807828e-10,5.7706933014e-02
MOPCGM,0.05,0.25,0.0000,5,true,3398,6796,36.959724800,1.6156518892e-10,5.7916500062e-02
CGPM,0.05,0.25,0.0000,5,true,1115,2456,13.729519400,1.5888690480e-10,5.7434449829e-02
STTDFPM,0.05,0.25,0.0000,5,true,293,630,3.520935700,1.2964091642e-10,5.1879939269e-02
SOPP,0.05,0.25,0.0010,1,true,459,918,5.461420800,2.4864310861e-10,6.7731263991e-02
SDLP,0.05,0.25,0.0010,1,true,337,675,4.061814400,2.4799920498e-10,6.7643506323e-02
MOPCGM,0.05,0.25,0.0010,1,true,4082,8164,46.646171900,2.4943764391e-10,6.7839394794e-02
CGPM,0.05,0.25,0.0010,1,true,1334,2937,18.044201100,2.3790333665e-10,6.6252341776e-02
STTDFPM,0.05,0.25,0.0010,1,true,376,800,4.908738900,1.6990878629e-10,5.5989796087e-02
SOPP,0.05,0.25,0.0010,2,true,418,837,5.128688900,2.1065503671e-10,6.4590301468e-02
SDLP,0.05,0.25,0.0010,2,true,306,613,3.523644800,2.0976696604e-10,6.4454009131e-02
MOPCGM,0.05,0.25,0.0010,2,true,3718,7436,46.984842600,2.1116310631e-10,6.4668145809e-02
CGPM,0.05,0.25,0.0010,2,true,1229,2705,16.434527500,1.9804998496e-10,6.2628036313e-02
STTDFPM,0.05,0.25,0.0010,2,true,350,734,4.288106200,1.3494015085e-10,5.1695409928e-02
SOPP,0.05,0.25,0.0010,3,true,437,874,5.766238200,3.2819861854e-10,8.7424335130e-02
SDLP,0.05,0.25,0.0010,3,true,321,642,4.060768000,3.2596110606e-10,8.7125815312e-02
MOPCGM,0.05,0.25,0.0010,3,true,3886,7772,48.601470700,3.2825002976e-10,8.7431182227e-02
CGPM,0.05,0.25,0.0010,3,true,1274,2805,18.332216000,3.1139538530e-10,8.5156940527e-02
STTDFPM,0.05,0.25,0.0010,3,true,352,743,4.419502200,2.8031847433e-10,8.0795993244e-02
SOPP,0.05,0.25,0.0010,4,true,277,554,3.690605700,2.3615336574e-10,6.3432206189e-02
SDLP,0.05,0.25,0.0010,4,true,196,393,2.301991900,2.3721179958e-10,6.3574198095e-02
MOPCGM,0.05,0.25,0.0010,4,true,2441,4882,29.659755100,2.3725801311e-10,6.3580390546e-02
CGPM,0.05,0.25,0.0010,4,true,822,1812,10.776995700,2.3525270758e-10,6.3311129553e-02
STTDFPM,0.05,0.25,0.0010,4,true,206,452,2.696797000,2.0054004314e-10,5.8453873950e-02
SOPP,0.05,0.25,0.0010,5,true,383,766,4.751005900,1.6370972172e-10,5.8299609793e-02
SDLP,0.05,0.25,0.0010,5,true,279,558,3.401974700,1.6295651169e-10,5.8165340199e-02
MOPCGM,0.05,0.25,0.0010,5,true,3396,6792,40.892778500,1.6489436158e-10,5.8510164030e-02
CGPM,0.05,0.25,0.0010,5,true,1115,2456,14.383517300,1.6155142067e-10,5.7914032246e-02
STTDFPM,0.05,0.25,0.0010,5,true,290,620,3.637475700,1.3924095482e-10,5.3766517676e-02
SOPP,0.05,0.25,0.0100,1,true,428,856,6.186492200,8.7590120693e-10,1.2712428679e-01
SDLP,0.05,0.25,0.0100,1,true,313,627,4.504734000,8.7557492116e-10,1.2710060677e-01
MOPCGM,0.05,0.25,0.0100,1,true,3804,7608,48.072739200,8.7646697039e-10,1.2716533632e-01
CGPM,0.05,0.25,0.0100,1,true,1254,2761,15.159624200,8.4233199778e-10,1.2466444741e-01
STTDFPM,0.05,0.25,0.0100,1,true,345,726,3.959095900,7.9261029363e-10,1.2092910012e-01
SOPP,0.05,0.25,0.0100,2,true,386,773,4.923834700,7.8273083917e-10,1.2450523444e-01
SDLP,0.05,0.25,0.0100,2,true,281,563,3.227801500,7.8417511124e-10,1.2462004821e-01
MOPCGM,0.05,0.25,0.0100,2,true,3430,6860,39.278394900,7.8358234451e-10,1.2457293847e-01
CGPM,0.05,0.25,0.0100,2,true,1144,2518,13.923564800,7.4933484265e-10,1.2182021210e-01
STTDFPM,0.05,0.25,0.0100,2,true,308,652,3.519183700,6.7500565137e-10,1.1562056633e-01
SOPP,0.05,0.25,0.0100,3,true,385,770,4.335348700,1.2082906094e-09,1.6774503089e-01
SDLP,0.05,0.25,0.0100,3,true,280,561,3.077020100,1.2087113355e-09,1.6777423271e-01
MOPCGM,0.05,0.25,0.0100,3,true,3414,6828,38.858210400,1.2120206017e-09,1.6800374578e-01
CGPM,0.05,0.25,0.0100,3,true,1134,2497,15.822962300,1.1677225606e-09,1.6490499066e-01
STTDFPM,0.05,0.25,0.0100,3,true,335,707,3.955331000,8.2380812438e-10,1.3850868277e-01
SOPP,0.05,0.25,0.0100,4,true,279,558,3.477239600,4.9483443257e-10,9.1821144707e-02
SDLP,0.05,0.25,0.0100,4,true,198,396,2.497451800,4.9611543819e-10,9.1939919158e-02
MOPCGM,0.05,0.25,0.0100,4,true,2459,4918,30.638441500,4.9633323675e-10,9.1960098115e-02
CGPM,0.05,0.25,0.0100,4,true,832,1834,10.270037200,4.8487626035e-10,9.0892533188e-02
STTDFPM,0.05,0.25,0.0100,4,true,214,469,2.702910200,4.4376725784e-10,8.6954162117e-02
SOPP,0.05,0.25,0.0100,5,true,379,759,4.491910600,5.8013589881e-10,1.0974715811e-01
SDLP,0.05,0.25,0.0100,5,true,276,552,3.148192600,5.8041150427e-10,1.0977322384e-01
MOPCGM,0.05,0.25,0.0100,5,true,3365,6730,39.281738200,5.8168500589e-10,1.0989358653e-01
CGPM,0.05,0.25,0.0100,5,true,1105,2434,13.753311800,5.7352444297e-10,1.0912000538e-01
STTDFPM,0.05,0.25,0.0100,5,true,311,658,3.718522000,4.6900801794e-10,9.8677592795e-02
SOPP,0.05,0.25,0.1000,1,true,340,680,3.977843800,1.9426877828e-08,5.9869064429e-01
SDLP,0.05,0.25,0.1000,1,true,245,490,2.694514600,1.9427176027e-08,5.9869523917e-01
MOPCGM,0.05,0.25,0.1000,1,true,3008,6016,34.471038400,1.9430240880e-08,5.9874246273e-01
CGPM,0.05,0.25,0.1000,1,true,1020,2246,12.840263900,1.9362868416e-08,5.9770352080e-01
STTDFPM,0.05,0.25,0.1000,1,true,346,725,4.191547600,1.8845963800e-08,5.8967150724e-01
SOPP,0.05,0.25,0.1000,2,true,348,696,4.241872400,1.4502149449e-08,5.3591705227e-01
